hierarchy,title,field,subsection title,subsection content,record_id
TP,CCF Power Management Flows: Top-Level Validation,description,Overview *,"This test plan targets the top-level validation of CCF (Central Control Fabric) power management (PM) flows within the SOC. It covers coordinated power state transitions, resource arbitration, stress detection and response, license handshake and arbitration, policy-driven flow control, and system-level observability and debug. CCF integrates with PMA, Punit, and core modules to orchestrate power state changes (C-states, frequency/voltage scaling), manage exclusive access to shared resources (MLC flush, IOSF channels), and enforce system policies. Key interactions include cross-module synchronization, telemetry-driven stress handling, license negotiation, and debug visibility, ensuring robust and safe PM flow operation under normal and stress conditions.",1
TP,CCF Power Management Flows: Top-Level Validation,description,Scope *,"This test plan encompasses validation of: (1) coordinated state transitions and resource arbitration across cores/modules, including exclusive access scenarios; (2) telemetry and AI-based stress detection and response mechanisms for electrical, thermal, and power virus events; (3) license handshake and arbitration flows between PMA, Punit, and cores; (4) policy-driven flow control and ownership prioritization; (5) system-level observability and debug mechanisms for PM flows, stress events, and arbitration outcomes. The plan addresses normal operation, stress scenarios, contention, race conditions, and system recovery. It does not cover lower-level signal integrity or individual IP-specific PM flows outside CCF orchestration.",1
TP,CCF Power Management Flows: Top-Level Validation,description,Known_limitations *,,1
TP,CCF Power Management Flows: Top-Level Validation,description,Common_requirements *,"All features require access to SOC-level debug and telemetry infrastructure, programmable stress injection capabilities, and synchronized PMA/Punit/core interfaces. Test environment must support controlled stress event generation, license arbitration triggers, and policy configuration. Observability tools must be available for real-time status monitoring and debug.",1
TP,CCF Power Management Flows: Top-Level Validation,description,Security_threat_models *,"Potential security implications include unauthorized PM flow initiation, license spoofing, and denial-of-service via resource contention. Mitigations involve policy gating, license arbitration, and observability mechanisms to detect and prevent malicious or unintended transitions. Validation will ensure that security/performance policies are enforced and that flow ownership is correctly prioritized under stress and error conditions.",1
TP,CCF Power Management Flows: Top-Level Validation,description,Risks_and_contingencies *,"Risks include incomplete coverage of simultaneous stress events, false positives in stress detection, and loss of debug visibility under high contention. Contingencies involve fallback flows, enhanced observability, and additional stress scenario coverage to ensure robustness and survivability.",1
TP,CCF Power Management Flows: Top-Level Validation,description,Prerequisites *,"Prerequisites include validated PMA/Punit/core interfaces, functional telemetry and debug infrastructure, and programmable policy and license configuration. Stress injection tools and observability mechanisms must be operational prior to test execution.",1
TPF,System-Level Observability and Debug,description,Description *,"Validate that debug counters, status indications, and telemetry provide accurate, timely visibility into PM flows, stress events, and arbitration outcomes. Check for correct updates of status registers (e.g., SBFT_STATUS) and observability under simultaneous stress and error conditions, ensuring no loss of visibility or incorrect reporting.",1.1
TCD,SBFT Status Register Update and Observability Under Stress and Error Conditions,description,Description *,Validate that SBFT status register and debug signals update correctly and remain observable under stress and error conditions.,1.1.1
TCD,SBFT Status Register Update and Observability Under Stress and Error Conditions,description,Algorithm of Testing *,"Configure SBFT@Field, inject random break events and stress, randomize test patterns and work-point parameters, and sample status/debug signals throughout execution.",1.1.1
TCD,SBFT Status Register Update and Observability Under Stress and Error Conditions,description,Randomization *,"Randomly inject break events (thermal, throttle hammer, S1/S5 CPD), randomize test patterns and work-point parameters (voltage, frequency) within legal ranges.",1.1.1
TCD,SBFT Status Register Update and Observability Under Stress and Error Conditions,description,Required Configurations and Dependencies *,"Requires SBFT@Field test configuration, both cores enabled, MLC cluster active, and access to ML4_CR_SBFT_AT_FIELD, CORE_PMA_CR_IO_TAF_CFG_STATUS, and PMA_DEBUG4 signals.",1.1.1
TCD,SBFT Status Register Update and Observability Under Stress and Error Conditions,description,Coverage *,"Coverage includes all legal SBFT_STATUS transitions, all break event types, and all debug signal transitions under stress.",1.1.1
TCD,SBFT Status Register Update and Observability Under Stress and Error Conditions,description,Cross-Feature Interaction *,"Involves MLC, PMA, SBFT@F, break event handling, and debug signal propagation; SBFT@F and static lockstep are mutually exclusive.",1.1.1
TCD,SBFT Status Register Update and Observability Under Stress and Error Conditions,description,DFx Requirements *,"Debug signals must be observable, status updates only after both cores reach stage, throttle events disabled during SBFT@F, and break events update SBFT_LAST_BREAK_REASON.",1.1.1
TC,SBFT Status Register Update Under Randomized Stress,description,TC Description *,"Configure the module for SBFT@Field test with both cores enabled and MLC cluster active. Ensure ML4_CR_SBFT_AT_FIELD[SBFT_STATUS] is at reset value 0x0. During SBFT@F execution, inject random break events such as thermal, throttle hammer, and S1/S5 CPD. Randomize test patterns and work-point parameters (voltage, frequency) within legal ranges. Continuously sample ML4_CR_SBFT_AT_FIELD[SBFT_STATUS], CORE_PMA_CR_IO_TAF_CFG_STATUS, and all PMA_DEBUG4 debug signals throughout the test. Verify that SBFT_STATUS transitions only through legal values and that all debug signals reflect correct sequence and state transitions, even under simultaneous stress and error injection.",1.1.1.1
