hierarchy,title,field,subsection title,subsection content,record_id
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Overview *,"This test plan targets the post-silicon validation of Socket RAPL functionality at the highest feature hierarchy, focusing on its integration and operation within the SOC. Socket RAPL provides power and frequency limit enforcement across multiple domains (core, memory, etc.), interfacing with BIOS, TPMI, and various IPs. Key flows include BIOS initialization and locking of RAPL limits, TPMI-based domain enumeration and access, propagation of power/frequency ceilings from root to leaf IMHs and CBB dies, aggregation and real-time reporting of performance status, and coordinated enforcement via cross-domain PID controllers. The plan covers interactions between BIOS, TPMI, IMHs, CBB dies, and system-level status reporting, ensuring robust enforcement and accurate system state reflection under all operational and stress scenarios.",1
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Scope *,"The scope encompasses validation of BIOS and TPMI configuration integrity (including programming, locking, and domain enumeration), propagation and enforcement of power/frequency limits across all IPs, aggregation and reporting of LEAF_PERF_STATUS and RAPL_PERF_STATUS, stress and boundary testing (including negative scenarios and error handling), and cross-domain PID controller interactions. All flows from initialization to runtime enforcement, status reporting, and system response to invalid or extreme configurations are included. Out-of-scope items are any features not directly related to Socket RAPL, such as non-RAPL power management, unrelated BIOS/TPMI features, or IPs outside the RAPL domain.",1
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Known_limitations *,,1
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Common_requirements *,"All features require access to BIOS configuration interfaces, TPMI registers, CSR access for RAPL limits and lock bits, and system-level monitoring tools for status registers. Hardware must support domain enumeration and real-time status reporting. Stress tools for generating extreme power/frequency demands and error injection capabilities are needed.",1
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Security_threat_models *,"Potential security threats include unauthorized modification of RAPL limits post-lock, improper domain enumeration exposing sensitive configuration, and manipulation of status reporting. Mitigations involve strict enforcement of lock bits, access control on TPMI and CSR interfaces, and validation of error handling for invalid configuration attempts.",1
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Risks_and_contingencies *,"Risks include incomplete coverage of cross-domain interactions, undetected failures in lock enforcement, and inaccurate status aggregation under stress. Contingencies involve additional targeted testing for edge cases, enhanced monitoring during stress scenarios, and fallback to manual validation if automated tools fail.",1
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Prerequisites *,"Prerequisites include a fully functional BIOS with RAPL programming capability, TPMI register access, SOC hardware supporting all RAPL domains, and availability of stress and error injection tools. Initial domain mapping and lock bit configuration must be completed prior to test execution.",1
TPF,BIOS & TPMI Configuration Integrity,description,Description *,"Validate BIOS programming of Socket RAPL limits and time windows via CSR and TPMI, including lock bit enforcement. Test triggers for register modification attempts post-lock, domain mapping configuration, and verify that TPMI enumerates domains/features correctly. Expected outcome: limits are initialized, locked, and cannot be overridden at runtime.",1.1
TCD,CSR and TPMI Socket RAPL Limit Initialization and Lock Enforcement,description,Description *,"Validate BIOS programming and lock enforcement of PACKAGE_POWER_SKU_CFG and PACKAGE_RAPL_LIMIT in CSR, and SOCKET_RAPL_PL_INFO, SOCKET_RAPL_PL1_CONTROL, SOCKET_RAPL_PL2_CONTROL in TPMI, ensuring locked fields cannot be modified by in-band or out-of-band agents until reset.",1.1.1
TCD,CSR and TPMI Socket RAPL Limit Initialization and Lock Enforcement,description,Algorithm of Testing *,"BIOS programs legal values for power limits and time windows, sets lock bits, and attempts are made to modify locked fields from in-band and out-of-band agents. Readbacks confirm lock enforcement.",1.1.1
TCD,CSR and TPMI Socket RAPL Limit Initialization and Lock Enforcement,description,Randomization *,No explicit randomization; legal values for PL1 and PL2 limits and time windows are selected within specified ranges.,1.1.1
TCD,CSR and TPMI Socket RAPL Limit Initialization and Lock Enforcement,description,Required Configurations and Dependencies *,"Requires BIOS access to CSR and TPMI interfaces, platform-specific TDP and power limits, and legal value ranges for all registers.",1.1.1
TCD,CSR and TPMI Socket RAPL Limit Initialization and Lock Enforcement,description,Coverage *,"Coverage includes all relevant fields in CSR and TPMI, both in-band and out-of-band access, and lock enforcement for all fields.",1.1.1
TCD,CSR and TPMI Socket RAPL Limit Initialization and Lock Enforcement,description,Cross-Feature Interaction *,"Involves BIOS, CSR, TPMI, in-band and out-of-band agents, and lock bit enforcement across both interfaces.",1.1.1
TCD,CSR and TPMI Socket RAPL Limit Initialization and Lock Enforcement,description,DFx Requirements *,"Requires observability of all fields post-lock, and validation that only a system reset clears the lock.",1.1.1
TC,CSR Register Lock Enforcement,description,TC Description *,"Program PACKAGE_POWER_SKU_CFG and PACKAGE_RAPL_LIMIT registers in CSR with platform-specific TDP, power limits, and time windows within legal ranges. Set the LOCK bit in PACKAGE_RAPL_LIMIT. After lock, attempt to write new values to any locked fields from both in-band and out-of-band agents. Read back all fields to confirm lock enforcement.",1.1.1.1
TC,CSR Register Lock Enforcement,description,Test Steps *,"1. Boot system and ensure BIOS access to CSR. 2. Program PACKAGE_POWER_SKU_CFG and PACKAGE_RAPL_LIMIT with legal values for TDP, PL1, PL2, and time windows. 3. Set the LOCK bit in PACKAGE_RAPL_LIMIT. 4. Attempt to write new values to locked fields from in-band (OS/driver) and out-of-band (BMC/PECI) agents. 5. Read back all fields from CSR. 6. Reset system and verify lock is cleared.",1.1.1.1
TC,CSR Register Lock Enforcement,description,Pass/Fail Criteria &amp; HW Errors *,Pass if all locked fields remain unchanged after attempted writes and only a system reset clears the lock. Fail if any field is modified post-lock or lock is cleared without reset.,1.1.1.1
TC,CSR Register Lock Enforcement,description,Intent Verify *,Confirm via register readbacks and logs that locked fields are not modified and lock is only cleared by reset.,1.1.1.1
TC,CSR Register Lock Enforcement,description,Validation Automation Global Checkers *,"Enable SST, Central, and Concurrency checkers. Enable PVT checkers for lock bit and register access.",1.1.1.1
TC,CSR Register Lock Enforcement,description,Validation SW *,"Tool and Content Requirements: OSBV/SVOS as per platform, PMON latest version, PythonSV for register access, Supercollider for concurrency, Perspec path for scenario automation.",1.1.1.1
TC,CSR Register Lock Enforcement,description,Ecosystem SW *,"Test Requirements: BIOS with RAPL support and lock programming, OS kernel with register access utilities, PCIe/storage drivers as per platform, no special registry keys required.",1.1.1.1
