hierarchy,title,field,subsection title,subsection content,record_id
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Overview *,"This test plan targets the post-silicon validation of Socket RAPL functionality at the highest feature hierarchy, focusing on its integration and operation within the SOC. Socket RAPL provides power and frequency limit enforcement across multiple domains (core, memory, etc.), interfacing with BIOS, TPMI, and various IPs. Key flows include BIOS initialization and locking of RAPL limits, TPMI-based domain enumeration and access, propagation of power/frequency ceilings from root to leaf IMHs and CBB dies, aggregation and real-time reporting of performance status, and coordinated enforcement via cross-domain PID controllers. The plan covers interactions between BIOS, TPMI, IMHs, CBB dies, and system-level status reporting, ensuring robust enforcement and accurate system state reflection under all operational and stress scenarios.",1
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Scope *,"The scope encompasses validation of BIOS and TPMI configuration integrity (including programming, locking, and domain enumeration), propagation and enforcement of power/frequency limits across all IPs, aggregation and reporting of LEAF_PERF_STATUS and RAPL_PERF_STATUS, stress and boundary testing (including negative scenarios and error handling), and cross-domain PID controller interactions. All flows from initialization to runtime enforcement, status reporting, and system response to invalid or extreme configurations are included. Out-of-scope items are any features not directly related to Socket RAPL, such as non-RAPL power management, unrelated BIOS/TPMI features, or IPs outside the RAPL domain.",1
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Known_limitations *,,1
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Common_requirements *,"All features require access to BIOS configuration interfaces, TPMI registers, CSR access for RAPL limits and lock bits, and system-level monitoring tools for status registers. Hardware must support domain enumeration and real-time status reporting. Stress tools for generating extreme power/frequency demands and error injection capabilities are needed.",1
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Security_threat_models *,"Potential security threats include unauthorized modification of RAPL limits post-lock, improper domain enumeration exposing sensitive configuration, and manipulation of status reporting. Mitigations involve strict enforcement of lock bits, access control on TPMI and CSR interfaces, and validation of error handling for invalid configuration attempts.",1
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Risks_and_contingencies *,"Risks include incomplete coverage of cross-domain interactions, undetected failures in lock enforcement, and inaccurate status aggregation under stress. Contingencies involve additional targeted testing for edge cases, enhanced monitoring during stress scenarios, and fallback to manual validation if automated tools fail.",1
TP,Socket RAPL Feature Validation at SOC Integration Level,description,Prerequisites *,"Prerequisites include a fully functional BIOS with RAPL programming capability, TPMI register access, SOC hardware supporting all RAPL domains, and availability of stress and error injection tools. Initial domain mapping and lock bit configuration must be completed prior to test execution.",1
TPF,Limit Propagation & Enforcement Across IPs,description,Description *,"Verify correct propagation of power/frequency limits from root IMH to leaf IMHs and CBB dies. Test transitions when limits change, stress scenarios where IPs request frequencies above limits, and ensure throttling is enforced. Expected outcome: all IPs are constrained by the most restrictive domain, and frequency ceilings are respected.",1.1
TCD,Limit Propagation from Root IMH to Leaf IMHs and CBBs under Dynamic Power Limit Changes,description,Description *,"Validate correct propagation of dynamic Socket RAPL limits from root IMH to leaf IMHs and CBBs, ensuring frequency ceilings are enforced at all hierarchy levels.",1.1.1
TCD,Limit Propagation from Root IMH to Leaf IMHs and CBBs under Dynamic Power Limit Changes,description,Algorithm of Testing *,"Dynamically reduce Socket RAPL PL1/PL2 limits via CSR/TPMI, randomizing order and magnitude, and monitor HPM messages and frequency responses at each hierarchy level.",1.1.1
TCD,Limit Propagation from Root IMH to Leaf IMHs and CBBs under Dynamic Power Limit Changes,description,Randomization *,"Randomize the order and magnitude of Socket RAPL limit changes, including values above and below TDP, down to fuse minimums.",1.1.1
TCD,Limit Propagation from Root IMH to Leaf IMHs and CBBs under Dynamic Power Limit Changes,description,Required Configurations and Dependencies *,BIOS configures and locks CSR interface with TDP/EDP characteristics; Socket RAPL enabled; all CBBs and IMHs powered and operational.,1.1.1
TCD,Limit Propagation from Root IMH to Leaf IMHs and CBBs under Dynamic Power Limit Changes,description,Coverage *,Sample RAPL_PERF_LIMIT and LEAF_PERF_STATUS HPM messages at all hierarchy levels; observe core and uncore frequencies; verify all domains are constrained by the most restrictive limit.,1.1.1
TCD,Limit Propagation from Root IMH to Leaf IMHs and CBBs under Dynamic Power Limit Changes,description,Cross-Feature Interaction *,"Root IMH computes minimum of Socket RAPL, Fast RAPL, and Platform RAPL PID outputs; propagates RAPL_PERF_LIMIT to leaf IMHs and CBBs; CBB Pcode sends LEAF_PERF_STATUS if any core is limited.",1.1.1
TCD,Limit Propagation from Root IMH to Leaf IMHs and CBBs under Dynamic Power Limit Changes,description,DFx Requirements *,BIOS locks CSR to prevent in-band writes; all programmed RAPL limits are critical and most restrictive is always enforced.,1.1.1
TC,Dynamic Limit Propagation Validation,description,TC Description *,"Configure BIOS to lock CSR interface with TDP and EDP characteristics. Enable Socket RAPL and ensure all CBBs and IMHs are operational. Set initial Socket RAPL PL1 and PL2 limits above TDP. Dynamically reduce PL1/PL2 limits in steps, including values below TDP and down to fuse minimums, using CSR or TPMI. At each step, monitor RAPL_PERF_LIMIT HPM messages from root IMH to leaf IMHs and from leaf IMHs to CBBs. Observe core and uncore frequencies on all CBBs and sample LEAF_PERF_STATUS HPM messages.",1.1.1.1
TC,Dynamic Limit Propagation Validation,description,Test Steps *,"1. Boot platform and verify BIOS has locked CSR interface with TDP/EDP characteristics. 2. Enable Socket RAPL and confirm all CBBs and IMHs are powered and operational. 3. Set initial Socket RAPL PL1/PL2 limits above TDP via CSR/TPMI. 4. Randomly reduce PL1/PL2 limits in steps, including values below TDP and down to fuse minimums. 5. At each step, sample RAPL_PERF_LIMIT HPM messages at root IMH, leaf IMH, and CBB. 6. Sample LEAF_PERF_STATUS HPM messages from CBBs. 7. Observe core and uncore frequencies on all CBBs. 8. Record and analyze results.",1.1.1.1
TC,Dynamic Limit Propagation Validation,description,Pass/Fail Criteria &amp; HW Errors *,"Pass if at each step, all CBBs and IMHs receive the updated, most restrictive frequency limit as computed by root IMH. Core and uncore frequencies must not exceed the propagated limit. LEAF_PERF_STATUS must indicate throttling if requested frequencies exceed the limit. Fail if any domain exceeds the propagated limit or status messages are inconsistent.",1.1.1.1
TC,Dynamic Limit Propagation Validation,description,Intent Verify *,"Confirm via HPM message logs, PMON, and frequency monitoring that limits are correctly propagated and enforced at all hierarchy levels.",1.1.1.1
