hierarchy,title,field,subsection title,subsection content,record_id
TP,CCF Power Management Flows: Top-Level Validation,description,Overview *,"This test plan targets the top-level validation of CCF (Central Control Fabric) power management (PM) flows within the SOC. It covers coordinated power state transitions, resource arbitration, stress detection and response, license handshake and arbitration, policy-driven flow control, and system-level observability and debug. CCF integrates with PMA, Punit, and core modules to orchestrate power state changes (C-states, frequency/voltage scaling), manage exclusive access to shared resources (MLC flush, IOSF channels), and enforce system policies. Key interactions include cross-module synchronization, telemetry-driven stress handling, license negotiation, and debug visibility, ensuring robust and safe PM flow operation under normal and stress conditions.",1
TP,CCF Power Management Flows: Top-Level Validation,description,Scope *,"This test plan encompasses validation of: (1) coordinated state transitions and resource arbitration across cores/modules, including exclusive access scenarios; (2) telemetry and AI-based stress detection and response mechanisms for electrical, thermal, and power virus events; (3) license handshake and arbitration flows between PMA, Punit, and cores; (4) policy-driven flow control and ownership prioritization; (5) system-level observability and debug mechanisms for PM flows, stress events, and arbitration outcomes. The plan addresses normal operation, stress scenarios, contention, race conditions, and system recovery. It does not cover lower-level signal integrity or individual IP-specific PM flows outside CCF orchestration.",1
TP,CCF Power Management Flows: Top-Level Validation,description,Known_limitations *,,1
TP,CCF Power Management Flows: Top-Level Validation,description,Common_requirements *,"All features require access to SOC-level debug and telemetry infrastructure, programmable stress injection capabilities, and synchronized PMA/Punit/core interfaces. Test environment must support controlled stress event generation, license arbitration triggers, and policy configuration. Observability tools must be available for real-time status monitoring and debug.",1
TP,CCF Power Management Flows: Top-Level Validation,description,Security_threat_models *,"Potential security implications include unauthorized PM flow initiation, license spoofing, and denial-of-service via resource contention. Mitigations involve policy gating, license arbitration, and observability mechanisms to detect and prevent malicious or unintended transitions. Validation will ensure that security/performance policies are enforced and that flow ownership is correctly prioritized under stress and error conditions.",1
TP,CCF Power Management Flows: Top-Level Validation,description,Risks_and_contingencies *,"Risks include incomplete coverage of simultaneous stress events, false positives in stress detection, and loss of debug visibility under high contention. Contingencies involve fallback flows, enhanced observability, and additional stress scenario coverage to ensure robustness and survivability.",1
TP,CCF Power Management Flows: Top-Level Validation,description,Prerequisites *,"Prerequisites include validated PMA/Punit/core interfaces, functional telemetry and debug infrastructure, and programmable policy and license configuration. Stress injection tools and observability mechanisms must be operational prior to test execution.",1
TPF,Coordinated State Transitions and Resource Arbitration,description,Description *,"Validate that CCF correctly staggers and synchronizes power state transitions (C6/MC6, frequency/voltage changes) across cores/modules, including exclusive access scenarios (MLC flush, IOSF channel arbitration). Check for correct handling of race conditions, contention, and out-of-sync status updates under normal and stress conditions.",1.1
TCD,Coordinated MC6 Entry and MLC Flush with Race/Abort Handling,description,Description *,"Validate correct MC6 entry and MLC flush coordination, including abort handling during wake-up races.",1.1.1
TCD,Coordinated MC6 Entry and MLC Flush with Race/Abort Handling,description,Algorithm of Testing *,"Randomly trigger C6 entry on both cores, inject wake-up/abort events during MLC flush, and monitor state transitions.",1.1.1
TCD,Coordinated MC6 Entry and MLC Flush with Race/Abort Handling,description,Randomization *,"Randomize C6 entry timing offsets, wake-up/abort event injection, and flush progress to create contention and race conditions.",1.1.1
TCD,Coordinated MC6 Entry and MLC Flush with Race/Abort Handling,description,Required Configurations and Dependencies *,"Both cores active, system configured for independent C6 entry, PMA/MLC signal sampling, PM/MLC abort indication handling.",1.1.1
TCD,Coordinated MC6 Entry and MLC Flush with Race/Abort Handling,description,Coverage *,"Monitor MC3/MC6 state transitions, flush start/abort/done signals, and check for deadlocks or out-of-sync states.",1.1.1
TCD,Coordinated MC6 Entry and MLC Flush with Race/Abort Handling,description,Cross-Feature Interaction *,"PM, MLC, and core state machines interact during C6/MC3/MC6 transitions and flush/abort flows.",1.1.1
TCD,Coordinated MC6 Entry and MLC Flush with Race/Abort Handling,description,DFx Requirements *,"Observability of PMA/MLC signals, flush abort indication, and flush-done signal; check for deadlocks and state sync.",1.1.1
TC,Simultaneous C6 Entry and MLC Flush Race Handling,description,TC Description *,"Configure both cores to independently request C6 entry. Randomly trigger C6 entry on both cores with timing offsets to create contention. During MC3, inject wake-up or abort requests while MLC flush is in progress. Monitor PMA/MLC signals for flush start, abort, and flush done. Check that flush is aborted and cores exit C6 promptly if a wake-up occurs.",1.1.1.1
TC,Simultaneous C6 Entry and MLC Flush Race Handling,description,Test Steps *,"1. Enable both cores and configure for independent C6 entry. 2. Randomly trigger C6 entry on both cores with timing offsets. 3. Once both cores are in C6 (MC3), initiate MLC flush. 4. During flush, inject wake-up or abort requests to one or both cores. 5. Sample PMA/MLC signals for flush start, abort, and flush done. 6. Monitor MC3/MC6 state transitions. 7. Check for correct handling of abort and prompt C6 exit.",1.1.1.1
